date,consumption,solar_capacity,solar_generation,solar_profile,wind_capacity,wind_generation,wind_profile
2005-01-01,,26.832,,,339.648,,
2005-01-02,,26.833,,,339.648,,
2005-01-03,,26.856,,,339.653,,
2005-01-04,,26.856,,,339.773,,
2005-01-05,,26.857,,,339.891,,
2005-01-06,,26.88,,,339.96,,
2005-01-07,,26.88,,,339.96,,
2005-01-08,,26.88,,,339.96,,
2005-01-09,,26.881,,,339.96,,
2005-01-10,,26.905,,,339.962,,
2005-01-11,,26.928,,,340.011,,
2005-01-12,,26.929,,,340.082,,
2005-01-13,,26.952,,,340.128,,
2005-01-14,,26.952,,,340.13,,
2005-01-15,,26.952,,,340.176,,
2005-01-16,,26.953,,,340.176,,
2005-01-17,,26.977,,,340.178,,
2005-01-18,,27.001,,,340.226,,
2005-01-19,,27.025,,,340.275,,
2005-01-20,,27.048,,,340.346,,
2005-01-21,,27.049,,,340.392,,
2005-01-22,,27.072,,,340.392,,
2005-01-23,,27.072,,,340.392,,
2005-01-24,,27.073,,,340.399,,
2005-01-25,,27.096,,,340.562,,
2005-01-26,,27.097,,,340.612,,
2005-01-27,,27.12,,,340.707,,
2005-01-28,,27.12,,,340.776,,
2005-01-29,,27.12,,,340.776,,
2005-01-30,,27.121,,,340.782,,
2005-01-31,,27.144,,,340.933,,
2005-02-01,,27.145,,,341.232,,
2005-02-02,,27.169,,,341.238,,
2005-02-03,,27.192,,,341.378,,
2005-02-04,,27.193,,,341.424,,
2005-02-05,,27.216,,,341.424,,
2005-02-06,,27.216,,,341.426,,
2005-02-07,,27.217,,,341.474,,
2005-02-08,,27.241,,,341.52,,
2005-02-09,,27.265,,,341.52,,
2005-02-10,,27.289,,,341.526,,
2005-02-11,,27.312,,,341.664,,
2005-02-12,,27.312,,,341.664,,
2005-02-13,,27.313,,,341.667,,
2005-02-14,,27.336,,,341.741,,
2005-02-15,,27.337,,,341.86,,
2005-02-16,,27.361,,,341.953,,
2005-02-17,,27.385,,,341.976,,
2005-02-18,,27.408,,,341.976,,
2005-02-19,,27.408,,,341.976,,
2005-02-20,,27.408,,,341.991,,
2005-02-21,,27.409,,,342.338,,
2005-02-22,,27.432,,,342.384,,
2005-02-23,,27.433,,,342.388,,
2005-02-24,,27.457,,,342.483,,
2005-02-25,,27.48,,,342.552,,
2005-02-26,,27.48,,,342.552,,
2005-02-27,,27.481,,,342.552,,
2005-02-28,,27.505,,,342.562,,
2005-03-01,,27.529,,,342.797,,
2005-03-02,,27.552,,,342.914,,
2005-03-03,,27.553,,,342.96,,
2005-03-04,,27.576,,,342.962,,
2005-03-05,,27.576,,,343.008,,
2005-03-06,,27.577,,,343.015,,
2005-03-07,,27.601,,,343.178,,
2005-03-08,,27.625,,,343.229,,
2005-03-09,,27.649,,,343.346,,
2005-03-10,,27.673,,,343.392,,
2005-03-11,,27.696,,,343.392,,
2005-03-12,,27.696,,,343.392,,
2005-03-13,,27.698,,,343.394,,
2005-03-14,,27.745,,,343.445,,
2005-03-15,,27.77,,,343.566,,
2005-03-16,,27.818,,,343.704,,
2005-03-17,,27.867,,,343.718,,
2005-03-18,,27.937,,,344.04,,
2005-03-19,,27.96,,,344.04,,
2005-03-20,,27.963,,,344.044,,
2005-03-21,,28.035,,,344.139,,
2005-03-22,,28.109,,,344.21,,
2005-03-23,,28.229,,,344.263,,
2005-03-24,,28.345,,,344.424,,
2005-03-25,,28.368,,,344.424,,
2005-03-26,,28.368,,,344.424,,
2005-03-27,,28.368,,,344.424,,
2005-03-28,,28.372,,,344.424,,
2005-03-29,,28.422,,,344.43,,
